,APE,year,month
521,-6764865.6458173385,1993.0,6.0
522,-6809354.591225718,1993.0,7.0
523,-6761392.944914192,1993.0,8.0
524,-6817279.332308027,1993.0,9.0
525,-6833026.55403939,1993.0,10.0
526,-6815612.983317803,1993.0,11.0
527,-6784435.67979665,1993.0,12.0
528,-6768717.043840491,1994.0,1.0
529,-6606530.572125793,1994.0,2.0
530,-6649968.574861257,1994.0,3.0
531,-6742445.395303194,1994.0,4.0
532,-6750497.852679676,1994.0,5.0
533,-6732344.26137407,1994.0,6.0
534,-6769035.6610805495,1994.0,7.0
535,-6744144.316940777,1994.0,8.0
536,-6856453.732383223,1994.0,9.0
537,-6945942.1139922775,1994.0,10.0
538,-6942131.458707886,1994.0,11.0
539,-6805435.626936266,1994.0,12.0
540,-6775625.527905384,1995.0,1.0
541,-6785670.4607643485,1995.0,2.0
542,-6920472.234915304,1995.0,3.0
543,-6848333.954507221,1995.0,4.0
544,-6882483.829312408,1995.0,5.0
545,-6898631.247629335,1995.0,6.0
546,-6881066.783910801,1995.0,7.0
547,-6922756.0697025275,1995.0,8.0
548,-6939156.896965284,1995.0,9.0
549,-7031345.4801637,1995.0,10.0
550,-7001049.566483835,1995.0,11.0
551,-6891725.339886849,1995.0,12.0
552,-7008362.938224633,1996.0,1.0
553,-6964002.045673204,1996.0,2.0
554,-6939076.177729,1996.0,3.0
555,-6821332.52827433,1996.0,4.0
556,-6815570.605950738,1996.0,5.0
557,-6787503.919308615,1996.0,6.0
558,-6760533.77293111,1996.0,7.0
559,-6802300.988129703,1996.0,8.0
560,-6852324.228841187,1996.0,9.0
561,-6979669.88874734,1996.0,10.0
562,-7028472.562899906,1996.0,11.0
563,-6924740.805032822,1996.0,12.0
564,-6878530.9991180105,1997.0,1.0
565,-6958126.86959638,1997.0,2.0
566,-6911813.355282836,1997.0,3.0
567,-6892477.335358465,1997.0,4.0
568,-6880192.389362855,1997.0,5.0
569,-6878211.466171665,1997.0,6.0
570,-6947261.437679208,1997.0,7.0
571,-6928084.13371683,1997.0,8.0
572,-7019315.0321419425,1997.0,9.0
573,-6996424.450976175,1997.0,10.0
574,-7073856.366362081,1997.0,11.0
575,-6922509.87049707,1997.0,12.0
576,-7050372.091915521,1998.0,1.0
577,-6960765.30202889,1998.0,2.0
578,-6972901.3786532115,1998.0,3.0
579,-6907553.26809729,1998.0,4.0
580,-6836814.80229296,1998.0,5.0
581,-6758223.814646076,1998.0,6.0
582,-6765619.378816252,1998.0,7.0
583,-6875866.766108008,1998.0,8.0
584,-6882596.149925103,1998.0,9.0
585,-6890879.982380385,1998.0,10.0
586,-6829958.9462902155,1998.0,11.0
587,-6732120.303886266,1998.0,12.0
588,-6780055.333871912,1999.0,1.0
589,-6830358.988939967,1999.0,2.0
590,-6777612.376536196,1999.0,3.0
591,-6737851.180413526,1999.0,4.0
592,-6719985.16661442,1999.0,5.0
593,-6669845.220455194,1999.0,6.0
594,-6717560.130282247,1999.0,7.0
595,-6751138.77865191,1999.0,8.0
596,-6790172.998138435,1999.0,9.0
597,-6849165.806878485,1999.0,10.0
598,-6901221.575993281,1999.0,11.0
599,-6858332.293735637,1999.0,12.0
600,-6771520.113558248,2000.0,1.0
601,-6678387.111577337,2000.0,2.0
602,-6799461.830039948,2000.0,3.0
603,-6846471.323153823,2000.0,4.0
604,-6838278.096975656,2000.0,5.0
605,-6737447.933879666,2000.0,6.0
606,-6768582.524571884,2000.0,7.0
607,-6775048.689166763,2000.0,8.0
608,-6800322.000553344,2000.0,9.0
609,-6866358.270663176,2000.0,10.0
610,-6851460.908490538,2000.0,11.0
611,-6757564.419816906,2000.0,12.0
612,-6660393.173516952,2001.0,1.0
613,-6697474.437449453,2001.0,2.0
614,-6769410.6253852695,2001.0,3.0
615,-6821540.0545078255,2001.0,4.0
616,-6791340.556672207,2001.0,5.0
617,-6832031.947927904,2001.0,6.0
618,-6742216.864193805,2001.0,7.0
619,-6795970.802687458,2001.0,8.0
620,-6804618.655739118,2001.0,9.0
621,-6854176.118071816,2001.0,10.0
622,-6811819.662082319,2001.0,11.0
623,-6699788.55238979,2001.0,12.0
624,-6668172.123240767,2002.0,1.0
625,-6781245.866511133,2002.0,2.0
626,-6777620.239185812,2002.0,3.0
627,-6812146.916938924,2002.0,4.0
628,-6757968.176897245,2002.0,5.0
629,-6752799.480981915,2002.0,6.0
630,-6802959.603293802,2002.0,7.0
