,APE,year,month
460,-1.7312468637094144e+24,1988.0,5.0
461,-1.7236076133475285e+24,1988.0,6.0
462,-1.7591624863660601e+24,1988.0,7.0
463,-1.7615175324878025e+24,1988.0,8.0
464,-1.7680331026383482e+24,1988.0,9.0
465,-1.763350495521479e+24,1988.0,10.0
466,-1.7575652358031409e+24,1988.0,11.0
467,-1.7255540348942262e+24,1988.0,12.0
468,-1.7355029163415647e+24,1989.0,1.0
469,-1.734796515336471e+24,1989.0,2.0
470,-1.7487182589154193e+24,1989.0,3.0
471,-1.758567974827277e+24,1989.0,4.0
472,-1.7430634103570308e+24,1989.0,5.0
473,-1.7285775407842492e+24,1989.0,6.0
474,-1.7329762151290393e+24,1989.0,7.0
475,-1.7347625661784777e+24,1989.0,8.0
476,-1.7565071025004797e+24,1989.0,9.0
477,-1.7534863443141034e+24,1989.0,10.0
478,-1.7553133698934203e+24,1989.0,11.0
479,-1.6966897576249316e+24,1989.0,12.0
480,-1.7118823159996742e+24,1990.0,1.0
481,-1.7264220424034627e+24,1990.0,2.0
482,-1.7482155394824137e+24,1990.0,3.0
483,-1.7368330029365262e+24,1990.0,4.0
484,-1.7232921597079917e+24,1990.0,5.0
485,-1.7253397047513174e+24,1990.0,6.0
486,-1.741714587961529e+24,1990.0,7.0
487,-1.7326900120582716e+24,1990.0,8.0
488,-1.7282359667968675e+24,1990.0,9.0
489,-1.7296302867352193e+24,1990.0,10.0
490,-1.7135755907574533e+24,1990.0,11.0
491,-1.6959385356085906e+24,1990.0,12.0
492,-1.6980848990138327e+24,1991.0,1.0
493,-1.6952476104095003e+24,1991.0,2.0
494,-1.6891156382407685e+24,1991.0,3.0
495,-1.7067724199448955e+24,1991.0,4.0
496,-1.69856729304543e+24,1991.0,5.0
497,-1.6999127590639398e+24,1991.0,6.0
498,-1.711870662512955e+24,1991.0,7.0
499,-1.7184323744524102e+24,1991.0,8.0
500,-1.7188119632599826e+24,1991.0,9.0
501,-1.735482177921635e+24,1991.0,10.0
502,-1.7351883261996652e+24,1991.0,11.0
503,-1.7074589828537222e+24,1991.0,12.0
504,-1.7051922201975428e+24,1992.0,1.0
505,-1.7158672636235488e+24,1992.0,2.0
506,-1.6701501669843484e+24,1992.0,3.0
507,-1.7265061289164106e+24,1992.0,4.0
508,-1.736108470049943e+24,1992.0,5.0
509,-1.7402653062709139e+24,1992.0,6.0
510,-1.745696182789697e+24,1992.0,7.0
511,-1.7454351537501806e+24,1992.0,8.0
512,-1.7518121530223515e+24,1992.0,9.0
513,-1.7626767207978034e+24,1992.0,10.0
514,-1.784917008519761e+24,1992.0,11.0
515,-1.7372487039716094e+24,1992.0,12.0
516,-1.6943322516681558e+24,1993.0,1.0
517,-1.7047395414093876e+24,1993.0,2.0
518,-1.692008573240209e+24,1993.0,3.0
519,-1.7346085138145016e+24,1993.0,4.0
520,-1.7234860227154667e+24,1993.0,5.0
521,-1.7225881612207002e+24,1993.0,6.0
522,-1.7339167129877338e+24,1993.0,7.0
